Date,Wave Perid,Sig Wave Height,Max Wave Period,Max Wave Height,Mean Wave Dir
21/09/2023 00:00:00,6.211,2.578,7.148,3.750,236
21/09/2023 01:00:00,6.563,2.578,9.609,3.750,235
21/09/2023 02:00:00,6.094,2.461,10.078,4.375,235
21/09/2023 03:00:00,6.211,2.461,7.969,3.438,239
21/09/2023 04:00:00,6.094,2.578,8.438,3.906,238
21/09/2023 05:00:00,6.328,2.344,8.555,3.594,238
21/09/2023 06:00:00,6.328,2.578,8.789,3.438,238
21/09/2023 07:00:00,6.211,2.227,7.266,3.438,242
21/09/2023 08:00:00,6.094,2.227,8.555,3.281,236
21/09/2023 09:00:00,5.859,2.109,7.148,3.594,239
21/09/2023 10:00:00,6.445,2.227,9.727,3.906,236
21/09/2023 11:00:00,6.094,2.109,8.203,3.281,232
21/09/2023 12:00:00,6.211,1.875,8.320,3.750,226
21/09/2023 13:00:00,6.680,1.992,9.258,3.750,228
21/09/2023 14:00:00,6.445,1.875,9.141,3.281,235
21/09/2023 15:00:00,6.914,1.992,9.023,2.969,238
21/09/2023 16:00:00,6.914,1.875,7.969,2.969,236
21/09/2023 17:00:00,6.914,1.758,8.555,3.281,242
21/09/2023 19:00:00,6.797,2.109,6.914,2.969,249
21/09/2023 20:00:00,6.680,2.109,10.313,3.281,249
21/09/2023 21:00:00,6.445,2.109,9.961,3.750,252
21/09/2023 22:00:00,5.977,2.109,9.375,3.125,256
21/09/2023 23:00:00,6.094,2.109,10.195,3.438,260
22/09/2023 00:00:00,5.859,1.992,9.609,3.125,262
22/09/2023 01:00:00,5.859,1.992,11.016,3.125,262
22/09/2023 02:00:00,5.625,1.992,6.328,3.125,260
22/09/2023 03:00:00,5.742,1.992,10.547,3.125,260
22/09/2023 04:00:00,5.508,1.875,9.375,2.969,257
22/09/2023 05:00:00,5.273,1.758,10.195,2.813,266
22/09/2023 06:00:00,5.391,1.992,9.375,3.281,270
22/09/2023 07:00:00,5.273,1.875,9.609,2.969,269
22/09/2023 08:00:00,5.156,1.875,7.266,3.125,274
22/09/2023 09:00:00,5.273,1.992,10.078,2.813,271
22/09/2023 10:00:00,5.039,1.992,5.156,3.438,283
22/09/2023 11:00:00,5.391,1.992,6.563,3.281,278
22/09/2023 12:00:00,5.156,1.875,7.031,2.813,278
22/09/2023 13:00:00,5.156,1.875,6.680,2.969,277
22/09/2023 14:00:00,5.156,1.875,9.258,2.344,271
22/09/2023 15:00:00,5.039,1.758,5.273,2.500,276
22/09/2023 16:00:00,5.039,1.641,8.672,2.344,270
22/09/2023 17:00:00,4.922,1.641,5.625,2.500,269
22/09/2023 19:00:00,4.805,1.641,7.852,2.188,284
22/09/2023 20:00:00,4.805,1.641,8.672,2.500,283
22/09/2023 21:00:00,4.688,1.523,8.203,2.500,278
22/09/2023 22:00:00,4.805,1.523,5.039,2.500,277
22/09/2023 23:00:00,4.805,1.406,4.570,2.344,270
23/09/2023 00:00:00,4.570,1.172,8.086,2.188,281
23/09/2023 01:00:00,4.922,1.289,4.570,2.031,267
23/09/2023 02:00:00,4.922,1.172,7.266,2.188,259
23/09/2023 03:00:00,5.156,1.289,6.563,1.875,256
23/09/2023 04:00:00,5.391,1.172,7.969,1.719,255
23/09/2023 05:00:00,5.273,1.055,7.266,1.719,245
23/09/2023 06:00:00,5.391,1.055,5.859,1.719,243
23/09/2023 07:00:00,5.625,1.172,8.203,1.875,250
23/09/2023 08:00:00,5.508,1.055,7.383,1.563,245
23/09/2023 09:00:00,5.156,1.055,5.742,1.719,267
23/09/2023 10:00:00,4.453,1.055,6.914,1.875,224
23/09/2023 11:00:00,4.219,1.172,7.383,2.344,229
23/09/2023 12:00:00,4.102,1.289,7.734,2.031,218
23/09/2023 13:00:00,4.219,1.289,7.031,1.875,217
23/09/2023 14:00:00,4.219,1.523,5.039,2.031,204
23/09/2023 15:00:00,4.453,1.641,6.797,2.344,197
23/09/2023 16:00:00,4.570,2.109,5.859,3.281,188
23/09/2023 17:00:00,4.922,2.344,5.508,3.594,190
23/09/2023 19:00:00,5.742,2.930,7.031,4.375,197
23/09/2023 20:00:00,5.977,3.164,7.148,5.313,191
23/09/2023 21:00:00,6.328,3.516,7.852,5.938,203
23/09/2023 22:00:00,6.094,3.164,8.203,4.688,205
23/09/2023 23:00:00,6.094,3.047,7.617,4.531,210
24/09/2023 00:00:00,6.211,3.047,7.734,6.250,211
24/09/2023 01:00:00,6.445,3.164,7.852,5.000,218
24/09/2023 02:00:00,6.680,3.047,11.250,4.688,214
24/09/2023 03:00:00,7.383,3.281,8.906,4.688,225
24/09/2023 04:00:00,7.734,3.398,9.727,5.000,232
24/09/2023 05:00:00,7.500,3.281,10.898,5.000,225
24/09/2023 06:00:00,7.852,3.398,14.648,5.156,231
24/09/2023 07:00:00,7.383,3.516,12.656,6.250,224
