Date,Wave Perid,Sig Wave Height,Max Wave Period,Max Wave Height,Mean Wave Dir
21/09/2023 00:00:00,7.969,3.359,12.422,5.742,307
21/09/2023 01:00:00,8.203,3.672,11.133,5.156,295
21/09/2023 02:00:00,8.555,3.828,10.078,6.680,294
21/09/2023 03:00:00,8.086,4.063,9.141,5.977,288
21/09/2023 04:00:00,8.438,4.531,10.547,6.680,284
21/09/2023 05:00:00,8.672,4.609,10.664,7.266,284
21/09/2023 06:00:00,8.672,4.531,12.422,6.797,291
21/09/2023 07:00:00,8.438,4.375,12.188,6.328,291
21/09/2023 08:00:00,9.141,4.688,10.547,6.680,302
21/09/2023 09:00:00,9.023,4.609,9.609,7.383,314
21/09/2023 10:00:00,9.023,4.453,12.422,6.328,319
21/09/2023 11:00:00,8.555,4.063,8.555,5.508,328
21/09/2023 12:00:00,8.789,4.375,11.016,7.031,316
21/09/2023 13:00:00,8.203,3.828,9.727,5.625,305
21/09/2023 14:00:00,7.969,3.750,10.781,6.094,329
21/09/2023 15:00:00,7.969,3.672,10.195,5.625,318
21/09/2023 16:00:00,8.438,4.297,10.195,6.094,308
21/09/2023 17:00:00,7.617,3.828,9.492,5.156,322
21/09/2023 18:00:00,7.793,4.024,10.078,5.274,325
21/09/2023 19:00:00,7.969,4.219,10.664,5.391,328
21/09/2023 20:00:00,7.969,4.063,9.609,6.445,338
21/09/2023 21:00:00,8.320,4.688,10.078,7.031,352
21/09/2023 22:00:00,8.672,5.078,11.836,9.141,346
21/09/2023 23:00:00,8.438,4.922,12.305,6.914,3
22/09/2023 00:00:00,9.023,5.234,11.367,8.438,4
22/09/2023 01:00:00,8.320,4.609,9.727,6.328,6
22/09/2023 02:00:00,8.906,5.234,11.367,7.500,359
22/09/2023 03:00:00,8.555,4.531,13.359,6.797,3
22/09/2023 04:00:00,8.438,4.297,11.836,5.859,4
22/09/2023 05:00:00,9.258,5.000,8.906,6.680,7
22/09/2023 06:00:00,9.141,4.922,11.367,6.914,8
22/09/2023 07:00:00,8.789,4.609,11.836,5.391,10
22/09/2023 08:00:00,9.844,5.234,13.711,7.617,15
22/09/2023 09:00:00,9.258,4.844,13.711,6.445,8
22/09/2023 10:00:00,9.492,5.078,11.484,8.320,13
22/09/2023 11:00:00,9.258,5.078,11.602,6.211,13
22/09/2023 12:00:00,9.258,4.922,11.367,7.500,14
22/09/2023 13:00:00,9.258,4.922,12.305,7.031,11
22/09/2023 14:00:00,9.258,4.688,11.133,8.203,15
22/09/2023 15:00:00,8.906,4.453,14.063,6.680,18
22/09/2023 16:00:00,9.258,4.375,11.016,7.617,17
22/09/2023 17:00:00,8.906,4.141,12.188,5.859,17
22/09/2023 18:00:00,8.965,4.063,11.602,5.625,14
22/09/2023 19:00:00,9.023,3.984,11.016,5.391,11
22/09/2023 20:00:00,9.609,4.531,10.313,6.914,13
22/09/2023 21:00:00,9.141,3.984,11.016,5.273,13
22/09/2023 22:00:00,8.672,3.672,13.828,5.156,11
22/09/2023 23:00:00,7.617,3.203,11.484,4.570,13
23/09/2023 00:00:00,8.789,3.906,12.422,5.391,17
23/09/2023 01:00:00,7.969,3.750,10.781,5.742,24
23/09/2023 02:00:00,7.500,3.594,11.250,4.805,27
23/09/2023 03:00:00,7.031,3.750,10.898,5.273,45
23/09/2023 04:00:00,7.266,3.906,9.023,5.391,62
23/09/2023 05:00:00,7.148,4.219,10.430,5.391,82
23/09/2023 06:00:00,7.266,4.531,9.492,6.445,101
23/09/2023 07:00:00,7.148,4.766,7.617,7.031,118
23/09/2023 08:00:00,7.500,5.234,7.852,8.320,127
23/09/2023 09:00:00,7.969,5.781,9.609,8.203,132
23/09/2023 10:00:00,7.734,5.156,9.375,7.734,150
23/09/2023 11:00:00,8.086,5.469,9.727,8.086,148
23/09/2023 12:00:00,7.734,4.531,9.375,6.211,145
23/09/2023 13:00:00,8.203,5.234,9.023,7.148,156
23/09/2023 14:00:00,7.734,4.219,12.539,5.742,170
23/09/2023 15:00:00,8.438,5.156,10.078,8.086,183
23/09/2023 16:00:00,8.672,5.469,8.789,6.680,188
23/09/2023 17:00:00,9.258,6.172,13.828,7.852,208
